(12/09/2017,List((1.21,0.987632)))
(30/10/2017,List((1.36,1.20)))
(29/07/2017,List((0.111264,0.101108)))
(28/08/2017,List((2.17,1.96)))
(17/08/2017,List((2.11,1.32)))
(04/08/2017,List((0.107756,0.102699)))
(01/10/2017,List((1.53,1.26)))
(29/09/2017,List((1.37,1.14)))
(13/08/2017,List((1.02,0.445990)))
(03/09/2017,List((2.02,1.42)))
(19/08/2017,List((2.33,1.82)))
(19/11/2017,List((1.70,1.57)))
(24/08/2017,List((2.66,2.28)))
(27/07/2017,List((0.108479,0.100888)))
(30/09/2017,List((1.31,1.23)))
(21/10/2017,List((1.27,1.17)))
(25/07/2017,List((0.115841,0.101531)))
(08/08/2017,List((0.226925,0.147766)))
(06/11/2017,List((1.67,1.48)))
(23/10/2017,List((1.28,1.10)))
(05/10/2017,List((1.74,1.42)))
(25/10/2017,List((1.27,1.17)))
(22/11/2017,List((1.62,1.56)))
(20/11/2017,List((1.66,1.56)))
(02/08/2017,List((0.101211,0.097361)))
(26/08/2017,List((2.54,1.96)))
(03/10/2017,List((2.03,1.67)))
(11/11/2017,List((1.92,1.61)))
(20/08/2017,List((2.69,2.08)))
(15/11/2017,List((1.62,1.50)))
(14/10/2017,List((1.54,1.41)))
(15/08/2017,List((1.38,0.923372)))
(23/09/2017,List((0.777400,0.707845)))
(17/11/2017,List((1.58,1.50)))
(18/09/2017,List((0.937029,0.787604)))
(16/10/2017,List((1.60,1.39)))
(16/09/2017,List((0.927197,0.746113)))
(11/08/2017,List((0.409654,0.311067)))
(01/09/2017,List((2.39,2.12)))
(10/09/2017,List((1.00,0.852385)))
(05/09/2017,List((1.12,0.740622)))
(30/07/2017,List((0.108138,0.103162)))
(21/09/2017,List((0.781775,0.684281)))
(04/11/2017,List((1.70,1.40)))
(25/09/2017,List((0.936568,0.773316)))
(22/08/2017,List((2.72,2.22)))
(27/09/2017,List((1.20,0.855698)))
(12/10/2017,List((1.44,1.28)))
(09/09/2017,List((1.03,0.863061)))
(13/11/2017,List((1.74,1.52)))
(08/11/2017,List((2.06,1.78)))
(14/09/2017,List((0.950177,0.673482)))
(18v08/2017,List((2.75,1.89)))
(09/10/2017,List((1.58,1.21)))
(10/10/2017,List((1.47,1.34)))
(02/11/2017,List((1.37,1.20)))
(29/10/2017,List((1.26,1.16)))
(07/09/2017,List((1.51,0.956745)))
(06/08/2017,List((0.132988,0.127380)))
(31/08/2017,List((2.41,2.20)))
(07/10/2017,List((1.61,1.50)))
(27/10/2017,List((1.22,1.11)))
(18/10/2017,List((1.42,1.21)))
(05/11/2017,List((1.64,1.46)))
(15/09/2017,List((0.849217,0.526755)))
(02/10/2017,List((1.98,1.51)))
(18/11/2017,List((1.68,1.50)))
(08/09/2017,List((1.40,0.946601)))
(29/08/2017,List((2.33,1.99)))
(24/10/2017,List((1.38,1.14)))
(31/10/2017,List((1.41,1.27)))
(15/10/2017,List((1.68,1.41)))
(11/10/2017,List((1.46,1.38)))
(01/11/2017,List((1.34,1.22)))
(28/10/2017,List((1.20,1.14)))
(22/10/2017,List((1.30,1.18)))
(31/07/2017,List((0.108349,0.101600)))
(24/09/2017,List((0.788347,0.736221)))
(19/09/2017,List((0.909132,0.787653)))
(13/10/2017,List((1.51,1.18)))
(03/11/2017,List((1.48,1.29)))
(07/11/2017,List((1.82,1.55)))
(14/08/2017,List((1.46,0.735764)))
(17/09/2017,List((0.814797,0.733745)))
(09/08/2017,List((0.260625,0.222158)))
(21/08/2017,List((2.91,2.43)))
(28/07/2017,List((0.109019,0.101473)))
(20/09/2017,List((0.816384,0.743676)))
(04/09/2017,List((1.58,0.613010)))
(19/10/2017,List((1.35,1.25)))
(30/08/2017,List((2.37,2.09)))
(13/09/2017,List((1.04,0.880241)))
(03/08/2017,List((0.106978,0.099120)))
(02/09/2017,List((2.85,1.72)))
(01/08/2017,List((0.106266,0.096109)))
(20/10/2017,List((1.37,1.22)))
(05/08/2017,List((0.144653,0.107070)))
(09/11/2017,List((2.17,1.89)))
(08/10/2017,List((1.60,1.22)))
(28/09/2017,List((1.43,1.15)))
(25/08/2017,List((2.73,2.39)))
(04/10/2017,List((1.86,1.52)))
(26/09/2017,List((0.940082,0.859212)))
(16/11/2017,List((1.68,1.54)))
(23/08/2017,List((2.96,2.47)))
(12/08/2017,List((0.475992,0.337589)))
(16/08/2017,List((1.45,1.08)))
(07/08/2017,List((0.149765,0.133300)))
(21/11/2017,List((1.66,1.55)))
(14/11/2017,List((1.74,1.57)))
(17/10/2017,List((1.47,1.36)))
(12/11/2017,List((1.67,1.46)))
(06/10/2017,List((1.71,1.53)))
(26/10/2017,List((1.26,1.10)))
(22/09/2017,List((0.740154,0.683260)))
(11/09/2017,List((1.10,0.902000)))
(27/08/2017,List((2.31,1.86)))
(06/09/2017,List((1.17,0.735500)))
(10/11/2017,List((2.07,1.64)))
(10/08/2017,List((0.349976,0.245052)))
(26/07/2017,List((0.109013,0.099266)))
