(25/06/2014,List((0.000310,0.000264)))
(30/12/2013,List((0.000459,0.000416)))
(02/08/2015,List((0.000175,0.000169)))
(09/01/2015,List((0.000172,0.000165)))
(15/02/2015,List((0.000154,0.000140)))
(18/09/2015,List((0.000127,0.000125)))
(28/07/2016,List((0.000240,0.000233)))
(28/10/2014,List((0.000258,0.000249)))
(05/06/2014,List((0.000368,0.000357)))
(15/04/2015,List((0.000105,0.000102)))
(01/04/2014,List((0.000554,0.000502)))
(27/11/2014,List((0.000255,0.000225)))
(15/05/2014,List((0.000462,0.000449)))
(21/05/2017,List((0.003062,0.001910)))
(05/08/2016,List((0.000219,0.000212)))
(21/06/2016,List((0.000327,0.000297)))
(23/01/2017,List((0.000209,0.000203)))
(08/03/2014,List((0.000936,0.000833)))
(24/03/2014,List((0.000759,0.000700)))
(05/12/2015,List((0.000133,0.000127)))
(22/06/2017,List((0.003141,0.003046)))
(07/04/2016,List((0.000218,0.000209)))
(09/04/2014,List((0.000457,0.000437)))
(10/11/2014,List((0.000228,0.000218)))
(01/09/2017,List((0.002543,0.002049)))
(02/02/2015,List((0.000152,0.000142)))
(11/01/2016,List((0.000177,0.000166)))
(14/06/2014,List((0.000395,0.000369)))
(08/12/2014,List((0.000232,0.000221)))
(06/03/2014,List((0.001073,0.001000)))
(20/07/2016,List((0.000247,0.000240)))
(09/10/2017,List((0.001066,0.000963)))
(28/10/2016,List((0.000220,0.000213)))
(27/10/2017,List((0.001087,0.001024)))
(18/10/2017,List((0.001079,0.000975)))
(26/11/2015,List((0.000138,0.000129)))
(03/07/2017,List((0.002601,0.002395)))
(10/08/2014,List((0.000170,0.000156)))
(07/03/2015,List((0.000143,0.000139)))
(04/08/2017,List((0.001847,0.001784)))
(19/09/2016,List((0.000240,0.000230)))
(18/11/2016,List((0.000224,0.000217)))
(09/03/2015,List((0.000145,0.000139)))
(09/04/2016,List((0.000215,0.000207)))
(19/03/2016,List((0.000220,0.000209)))
(08/05/2016,List((0.000223,0.000220)))
(30/12/2015,List((0.000157,0.000149)))
(08/08/2017,List((0.001987,0.001929)))
(04/12/2016,List((0.000218,0.000213)))
(15/03/2016,List((0.000239,0.000230)))
(16/11/2014,List((0.000231,0.000222)))
(06/02/2017,List((0.000216,0.000208)))
(06/10/2014,List((0.000313,0.000262)))
(22/11/2015,List((0.000134,0.000127)))
(26/08/2015,List((0.000136,0.000127)))
(14/03/2017,List((0.000247,0.000236)))
(25/09/2017,List((0.001182,0.000889)))
(18/02/2016,List((0.000287,0.000273)))
(30/08/2016,List((0.000234,0.000223)))
(23/07/2017,List((0.002193,0.001889)))
(01/11/2016,List((0.000226,0.000218)))
(18/05/2015,List((0.000119,0.000114)))
(10/01/2017,List((0.000231,0.000220)))
(07/09/2017,List((0.002016,0.001920)))
(26/06/2015,List((0.000204,0.000180)))
(17/07/2016,List((0.000264,0.000257)))
(11/09/2016,List((0.000257,0.000225)))
(08/04/2015,List((0.000123,0.000109)))
(19/05/2014,List((0.000451,0.000442)))
(24/05/2016,List((0.000226,0.000223)))
(01/03/2017,List((0.000209,0.000201)))
(17/08/2017,List((0.001799,0.001575)))
(04/03/2016,List((0.000247,0.000237)))
(13/08/2017,List((0.001874,0.001731)))
(24/09/2016,List((0.000229,0.000223)))
(18/02/2014,List((0.001426,0.001310)))
(08/06/2015,List((0.000163,0.000150)))
(25/08/2014,List((0.000126,0.000112)))
(25/07/2017,List((0.002002,0.001703)))
(05/05/2017,List((0.000932,0.000736)))
(25/12/2013,List((0.000694,0.000558)))
(26/02/2017,List((0.000208,0.000199)))
(03/04/2014,List((0.000449,0.000385)))
(31/08/2015,List((0.000130,0.000126)))
(11/01/2014,List((0.000509,0.000334)))
(04/07/2016,List((0.000292,0.000280)))
(24/12/2016,List((0.000252,0.000232)))
(31/07/2014,List((0.000211,0.000200)))
(15/08/2017,List((0.001827,0.001656)))
