(25/06/2014,List((0.000310,0.000269)))
(30/12/2013,List((0.000452,0.000416)))
(02/08/2015,List((0.000175,0.000172)))
(09/01/2015,List((0.000167,0.000171)))
(15/02/2015,List((0.000151,0.000141)))
(18/09/2015,List((0.000125,0.000127)))
(28/07/2016,List((0.000235,0.000238)))
(28/10/2014,List((0.000250,0.000256)))
(05/06/2014,List((0.000362,0.000360)))
(15/04/2015,List((0.000102,0.000105)))
(01/04/2014,List((0.000506,0.000537)))
(27/11/2014,List((0.000232,0.000243)))
(15/05/2014,List((0.000456,0.000455)))
(21/05/2017,List((0.001910,0.003062)))
(05/08/2016,List((0.000215,0.000218)))
(21/06/2016,List((0.000324,0.000307)))
(23/01/2017,List((0.000205,0.000208)))
(08/03/2014,List((0.000927,0.000833)))
(24/03/2014,List((0.000746,0.000743)))
(05/12/2015,List((0.000129,0.000130)))
(22/06/2017,List((0.003126,0.003104)))
(07/04/2016,List((0.000216,0.000212)))
(09/04/2014,List((0.000450,0.000441)))
(10/11/2014,List((0.000219,0.000220)))
(01/09/2017,List((0.002064,0.002543)))
(02/02/2015,List((0.000144,0.000151)))
(11/01/2016,List((0.000167,0.000171)))
(14/06/2014,List((0.000392,0.000376)))
(08/12/2014,List((0.000229,0.000221)))
(06/03/2014,List((0.001058,0.001012)))
(20/07/2016,List((0.000245,0.000244)))
(09/10/2017,List((0.001056,0.000991)))
(28/10/2016,List((0.000219,0.000216)))
(27/10/2017,List((0.001052,0.001052)))
(18/10/2017,List((0.001066,0.001047)))
(26/11/2015,List((0.000130,0.000132)))
(03/07/2017,List((0.002467,0.002533)))
(10/08/2014,List((0.000167,0.000160)))
(07/03/2015,List((0.000142,0.000141)))
(04/08/2017,List((0.001794,0.001820)))
(19/09/2016,List((0.000237,0.000236)))
(18/11/2016,List((0.000223,0.000218)))
(09/03/2015,List((0.000140,0.000144)))
(09/04/2016,List((0.000211,0.000208)))
(19/03/2016,List((0.000211,0.000220)))
(08/05/2016,List((0.000222,0.000222)))
(30/12/2015,List((0.000156,0.000153)))
(08/08/2017,List((0.001950,0.001961)))
